track_name,artist_name,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year,genres,loudness_scaled
Bam Bam feat Ed Sheeran,"Camila Cabello, Ed Sheeran",0.756,0.697,Key_8,major,0.0401,0.182,0.0,0.333,0.956,94.996,4,2022,Pop,0.7581595498179412
First Class,Jack Harlow,0.902,0.582,Key_5,minor,0.109,0.111,3.18e-06,0.111,0.332,107.005,4,2022,"Pop,Rap,Hip Hop",0.7896060906984443
MAMIII,"Becky G, KAROL G",0.843,0.7,Key_4,minor,0.0803,0.0934,0.0,0.14,0.899,93.991,4,2022,"Pop,Latino,Rap",0.9444554783184376
Where Are You Now,"Lost Frequencies, Calum Scott",0.671,0.636,Key_6,minor,0.103,0.515,0.000411,0.172,0.262,120.966,4,2021,"Pop,Hip Hop",0.6429659053293612
Dandelions,Ruth B.,0.609,0.692,Key_1,major,0.0259,0.0157,0.0,0.0864,0.454,116.959,3,2017,"Pop,Hip Hop,Jazz",0.9845084409136048
About Damn Time,Lizzo,0.836,0.743,Key_10,minor,0.0656,0.0995,0.0,0.335,0.722,108.966,4,2022,"Pop,Rap,Hip Hop",0.7629261833829859
I Aint Worried,OneRepublic,0.704,0.797,Key_0,major,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,2022,"Pop,Rock",0.7879510095994704
La Bachata,Manuel Turizo,0.835,0.679,Key_7,minor,0.0364,0.583,1.98e-06,0.218,0.85,124.98,4,2022,"Pop,Latino,Rap",0.8275405494869249
Una Noche en Medelln,Cris Mj,0.87,0.548,Key_10,minor,0.077,0.0924,4.6e-05,0.0534,0.832,96.018,4,2022,"Latino,Rap",0.8325719960278054
I Love You So,The Walters,0.575,0.648,Key_10,major,0.0358,0.583,0.0,0.115,0.466,75.977,4,2014,Rock,0.8565375703409468
Infinity,Jaymes Young,0.671,0.673,Key_11,minor,0.0444,0.148,5.29e-05,0.304,0.494,121.963,4,2017,"Pop,Rock",0.720820920225091
Party,"Bad Bunny, Rauw Alejandro",0.829,0.799,Key_9,major,0.0897,0.0151,0.000543,0.242,0.471,97.013,4,2022,"Pop,Latino,Rap",0.8235683548493876
The Motto,"Tiësto, Ava Max",0.754,0.763,Key_7,minor,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,4,2021,"Pop,Hip Hop",0.8740152267461105
Late Night Talking,Harry Styles,0.714,0.728,Key_10,major,0.0468,0.298,0.0,0.106,0.901,114.996,4,2022,Pop,0.8761337305527972
Until I Found You,Stephen Sanchez,0.539,0.508,Key_10,major,0.0288,0.727,0.0,0.174,0.227,101.358,3,2021,Pop,0.7798080105925191
Lo Siento BB with Bad Bunny  Julieta Venegas,"Tainy, Bad Bunny, Julieta Venegas",0.639,0.703,Key_4,minor,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,4,2021,"Pop,Rock,Rap,Latino",0.761271102284012
Tarot,"Bad Bunny, Jhayco",0.795,0.684,Key_11,minor,0.0419,0.0225,0.0,0.658,0.419,114.011,4,2022,"Latino,Rap",0.9174445547831844
Lovin On Me,Jack Harlow,0.943,0.558,Key_2,major,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,4,2023,"Pop,Rap,Hip Hop",0.8552135054617677
Houdini,Dua Lipa,0.744,0.789,Key_9,minor,0.059,0.0036,0.00144,0.0947,0.866,116.985,4,2023,Pop,0.857530619000331
greedy,Tate McRae,0.75,0.733,Key_6,minor,0.0319,0.256,0.0,0.114,0.844,111.018,1,2023,"Pop,Hip Hop",0.969811320754717
Strangers,Kenya Grace,0.628,0.523,Key_11,minor,0.0946,0.701,0.00274,0.219,0.416,169.982,4,2023,Pop,0.6303872889771599
Paint The Town Red,Doja Cat,0.868,0.538,Key_5,major,0.174,0.269,3.34e-06,0.0901,0.732,99.968,4,2023,Pop,0.6107911287653096
Dance The Night - From Barbie The Album,Dua Lipa,0.671,0.845,Key_11,minor,0.048,0.0207,0.0,0.329,0.775,110.056,4,2023,Pop,0.8539556438265475
BOTH,"Tiësto, 21 Savage, BIA",0.69,0.933,Key_5,minor,0.0832,0.0252,2.51e-05,0.493,0.523,119.987,4,2023,"Pop,Latino,Rap,Hip Hop",0.9751737835153924
In The City,"Charli XCX, Sam Smith",0.736,0.754,Key_4,major,0.0443,0.033,0.000599,0.0731,0.648,128.046,4,2023,Pop,0.8190665342601788
Is It Over Now Taylors Version From The Vault,Taylor Swift,0.596,0.658,Key_0,major,0.036,0.0504,0.0,0.127,0.176,100.012,4,2023,Pop,0.6940086064217147
I Remember Everything feat Kacey Musgraves,"Zach Bryan, Kacey Musgraves",0.429,0.453,Key_0,major,0.0459,0.554,2e-06,0.102,0.155,77.639,4,2023,"Pop,Country",0.667527308838133
Lose Control,Teddy Swims,0.561,0.604,Key_9,major,0.0337,0.199,1.9e-05,0.104,0.242,159.92,3,2023,hip hop,0.8884475339291626
vampire,Olivia Rodrigo,0.511,0.532,Key_5,major,0.0578,0.177,0.0,0.291,0.35,138.005,4,2023,Pop,0.8
When We Were Young The Logical Song,"David Guetta, Kim Petras",0.657,0.914,Key_0,minor,0.0523,0.0526,6.32e-06,0.109,0.502,139.989,4,2023,"Pop,Hip Hop",0.8815623965574313
Nice to meet you feat Central Cee,"PinkPantheress, Central Cee",0.701,0.781,Key_10,minor,0.0532,0.0264,0.000833,0.0584,0.546,148.299,4,2023,Pop,0.7449189010261503
Different Kind Of Beautiful,Alec Benjamin,0.522,0.427,Key_0,major,0.0602,0.709,3.85e-06,0.135,0.644,106.043,4,2023,"Pop,Rock,Hip Hop",0.6891757696127111
Cupid - Twin Ver,FIFTY FIFTY,0.783,0.592,Key_11,minor,0.0331,0.435,4.15e-06,0.347,0.726,120.018,4,2023,Pop,0.6287322078781861
Better Things,aespa,0.782,0.767,Key_0,major,0.0529,0.11,0.00323,0.496,0.548,115.027,4,2023,Pop,0.8239655743131413
Eyes Closed,Ed Sheeran,0.793,0.52,Key_11,minor,0.0696,0.246,0.0,0.0878,0.309,107.014,4,2023,Pop,0.6866600463422708
fukumean,Gunna,0.847,0.622,Key_1,minor,0.0903,0.119,0.0,0.285,0.22,130.001,4,2023,"Rap,Hip Hop",0.7336643495531281
1035,"Tiësto, Tate McRae",0.696,0.793,Key_8,major,0.097,0.0683,3.78e-06,0.18,0.698,120.003,4,2022,"Pop,Hip Hop",0.8007944389275075
Cant Catch Me Now - from The Hunger Games The Ballad of Songbirds  Snakes,Olivia Rodrigo,0.518,0.368,Key_11,minor,0.0353,0.855,4.9e-06,0.119,0.234,141.934,4,2023,Pop,0.6666004634227077
LALA,Myke Towers,0.708,0.737,Key_1,major,0.0436,0.0739,0.00162,0.0955,0.607,91.986,4,2023,"Latino,Rap",0.9125455147302218
Vertigo,Griff,0.536,0.59,Key_2,major,0.239,0.107,0.000351,0.129,0.257,180.135,4,2023,Pop,0.745382323733863
Cruel Summer,Taylor Swift,0.552,0.702,Key_9,major,0.157,0.117,2.06e-05,0.105,0.564,169.994,4,2019,Pop,0.8025157232704403
City Boys,Burna Boy,0.808,0.634,Key_2,minor,0.172,0.0851,0.0,0.127,0.569,100.03,4,2023,"Pop,Hip Hop",0.732538894405826
My Love Mine All Mine,Mitski,0.504,0.308,Key_9,major,0.0321,0.868,0.135,0.158,0.121,113.95,4,2023,Rock,0.1900695134061569
adore u,"Fred again.., Obongjayar",0.747,0.867,Key_0,major,0.088,0.582,0.00413,0.114,0.684,124.015,4,2023,"Hip Hop,Jazz",0.6963257199602781
Big FU,"David Guetta, Ayra Starr, Lil Durk",0.774,0.711,Key_11,minor,0.18,0.243,0.00052,0.0732,0.612,125.14,4,2023,"Pop,Rap,Hip Hop",0.6526977821913275
Water,Tyla,0.673,0.722,Key_3,minor,0.0755,0.0856,0.0,0.137,0.519,117.187,4,2023,"pop, r&b",0.9489572989076464
Cobra,Megan Thee Stallion,0.816,0.649,Key_0,minor,0.242,0.709,0.0,0.52,0.686,138.056,4,2023,"Pop,Rap,Jazz",0.8413770274743463
Speed Drive From Barbie The Album,Charli XCX,0.652,0.879,Key_0,major,0.0784,0.00284,0.0896,0.0918,0.789,173.925,4,2023,Pop,0.7563058589870904
Stick Season,Noah Kahan,0.662,0.488,Key_9,major,0.0682,0.782,0.0,0.102,0.817,117.913,4,2022,Rock,0.7239324726911619
Barbie World with Aqua From Barbie The Album,"Nicki Minaj, Ice Spice, Aqua",0.77,0.58,Key_0,major,0.247,0.519,0.000127,0.233,0.753,144.072,4,2023,"Pop,Rap,Hip Hop",0.6246938099966899
Snooze,SZA,0.559,0.551,Key_5,major,0.132,0.141,0.0,0.11,0.392,143.008,4,2022,"Pop,Rap,Jazz",0.7016219794769945
Youre Hired feat Ayra Starr,"NEIKED, Ayra Starr",0.743,0.717,Key_0,major,0.0422,0.0562,0.0,0.144,0.853,105.988,4,2023,Pop,0.8670638861304204
Live For Me,Omar Apollo,0.584,0.478,Key_0,major,0.0305,0.579,0.000316,0.153,0.118,95.973,4,2023,"Pop,Jazz",0.7232042370076134
Popular with Playboi Carti  Madonna - Music from the HBO Original Series,"The Weeknd, Playboi Carti, Madonna",0.855,0.678,Key_1,major,0.189,0.0569,3.69e-05,0.412,0.852,99.029,4,2023,"Pop,Rap,Hip Hop,Jazz",0.7648460774577954
Low Tide,iann dior,0.411,0.494,Key_2,major,0.0329,0.386,0.0,0.271,0.334,74.779,4,2023,Rap,0.6975835815954983
Oh U Went feat Drake,"Young Thug, Drake",0.808,0.789,Key_7,minor,0.236,0.0517,0.0,0.0819,0.465,136.01,4,2023,"Pop,Rap,Hip Hop",0.7910625620655413
Lay Low,Tiësto,0.534,0.855,Key_1,minor,0.183,0.0607,0.000263,0.346,0.42,122.06,4,2023,"Pop,Hip Hop",0.8544190665342601
WE SEE YOU,NLE Choppa,0.815,0.733,Key_0,major,0.214,0.00484,0.0,0.0659,0.557,145.01,4,2023,"Rap,Hip Hop",0.928037073816617
Boys a liar Pt 2,"PinkPantheress, Ice Spice",0.696,0.809,Key_5,major,0.05,0.252,0.000128,0.248,0.857,132.962,4,2023,Pop,0.6338960609069846
Strong Enough feat Bailey Zimmerman,"Jonas Brothers, Bailey Zimmerman",0.754,0.816,Key_3,major,0.0584,0.208,0.0,0.0491,0.653,126.082,4,2023,"Pop,Country",0.8368090036411784
Endless Fashion feat Nicki Minaj,"Lil Uzi Vert, Nicki Minaj",0.731,0.605,Key_1,major,0.19,0.067,7.7e-06,0.177,0.413,132.946,4,2023,"Pop,Rap,Hip Hop",0.8486593843098312
UNHEALTHY feat Shania Twain,"Anne-Marie, Shania Twain",0.621,0.66,Key_11,minor,0.0366,0.00526,0.0,0.072,0.407,119.937,4,2023,"Pop,Country",0.7693478980470043
Gimme Love,Sia,0.284,0.755,Key_1,minor,0.05,0.00335,0.00195,0.103,0.199,93.384,4,2023,Pop,0.9721284342932804
What Was I Made For,Billie Eilish,0.371,0.0844,Key_0,major,0.0378,0.955,0.0,0.0983,0.0967,117.337,3,2023,Pop,0.0
Big 7,Burna Boy,0.661,0.86,Key_8,major,0.321,0.168,0.0,0.0958,0.605,176.061,4,2023,"Pop,Hip Hop",0.7833829857663026
Piscina,"Maria Becerra, Chencho Corleone, Ovy On The Drums",0.761,0.827,Key_11,minor,0.0659,0.385,6.42e-05,0.095,0.568,97.021,4,2023,"Pop,Latino,Rap",0.9030122476001324
Seven feat Latto Clean Ver,"Jung Kook, Latto",0.776,0.831,Key_11,major,0.0457,0.316,0.0,0.0688,0.891,124.986,4,2023,"Pop,Rap",0.9171797418073486
One in a Million,"Bebe Rexha, David Guetta",0.454,0.931,Key_11,major,0.0321,0.238,0.000623,0.289,0.462,137.945,4,2023,"Pop,Hip Hop",0.9100297914597816
Calm Down with Selena Gomez,"Rema, Selena Gomez",0.801,0.806,Key_11,major,0.0381,0.382,0.000669,0.114,0.802,106.999,4,2022,Pop,0.8356835484938763
Borracho y Loco,"Yandel, Myke Towers",0.758,0.73,Key_1,minor,0.12,0.228,4.3e-05,0.0851,0.682,173.988,4,2023,"Latino,Rap,Hip Hop",0.9389606090698444
What Was,Benson Boone,0.633,0.612,Key_4,major,0.0515,0.331,0.0,0.117,0.335,119.891,4,2023,Pop,0.8249586229725256
Bongos feat Megan Thee Stallion,"Cardi B, Megan Thee Stallion",0.726,0.738,Key_0,major,0.355,0.0791,0.0,0.0297,0.896,121.953,4,2023,"Pop,Rap,Jazz",0.863356504468719
La Bebe - Remix,"Yng Lvcas, Peso Pluma",0.812,0.479,Key_2,minor,0.333,0.213,1.21e-06,0.0756,0.559,169.922,4,2023,Latino,0.80443561734525
Rock My Body,"R3HAB, INNA, Sash!",0.662,0.821,Key_2,minor,0.13,0.202,0.0,0.522,0.47,124.077,4,2023,"Pop,Hip Hop",0.9087057265806024
Religiously,Bailey Zimmerman,0.57,0.67,Key_1,major,0.0274,0.426,0.0,0.108,0.593,140.924,4,2023,"Pop,Country",0.7487586891757696
0800 HEAVEN,"Nathan Dawe, Joel Corry, Ella Henderson",0.644,0.836,Key_6,major,0.111,0.183,1.71e-06,0.343,0.21,140.015,4,2023,Pop,0.9100297914597816
Im Good Blue,"David Guetta, Bebe Rexha",0.561,0.965,Key_7,minor,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4,2022,"Pop,Hip Hop",0.9371731214829526
Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",0.878,0.619,Key_6,major,0.102,0.0533,0.0,0.113,0.639,136.041,4,2019,"Rock,Hip Hop,Country",0.7300848841005549
bad guy,Billie Eilish,0.701,0.425,Key_7,major,0.375,0.328,0.13,0.1,0.562,135.128,4,2019,Pop,0.2889324191968657
Seorita,"Shawn Mendes, Camila Cabello",0.759,0.548,Key_9,minor,0.029,0.0392,0.0,0.0828,0.749,116.967,4,2019,Pop,0.6901730329742082
7 rings,Ariana Grande,0.778,0.317,Key_1,minor,0.334,0.592,0.0,0.0881,0.327,140.048,4,2019,Pop,0.3079497224942866
Sunflower - Spider-Man Into the Spider-Verse,"Post Malone, Swae Lee",0.755,0.522,Key_2,major,0.0575,0.533,0.0,0.0685,0.925,89.96,4,2019,"Pop,Rap",0.827375122428991
Cruel Summer,Taylor Swift,0.552,0.702,Key_9,major,0.157,0.117,2.06e-05,0.105,0.564,169.994,4,2019,Pop,0.7180868429644138
Without Me,Halsey,0.752,0.488,Key_6,major,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,4,2018,"Rock,Pop",0.6084720861900097
Let Me Down Slowly,Alec Benjamin,0.652,0.557,Key_1,minor,0.0318,0.74,0.0,0.124,0.483,150.073,4,2018,"Rock,Pop,Hip Hop",0.7175155076722166
Shallow,"Lady Gaga, Bradley Cooper",0.572,0.385,Key_7,major,0.0308,0.371,0.0,0.231,0.323,95.799,4,2018,Pop,0.664626183480248
lovely with Khalid,"Billie Eilish, Khalid",0.351,0.296,Key_4,minor,0.0333,0.934,0.0,0.095,0.12,115.284,4,2018,"Jazz,Pop",0.3587985634998367
Someone You Loved,Lewis Capaldi,0.501,0.405,Key_1,major,0.0319,0.751,0.0,0.105,0.446,109.891,4,2019,Pop,0.7203721841332026
Sweet but Psycho,Ava Max,0.72,0.706,Key_1,major,0.0473,0.0684,0.0,0.166,0.62,133.002,4,2020,Pop,0.7987267384916747
SICKO MODE,Travis Scott,0.834,0.73,Key_8,major,0.222,0.00513,0.0,0.124,0.446,155.008,4,2018,"Hip Hop,Rap",0.8807541625857002
Lost in the Fire feat The Weeknd,"Gesaffelstein, The Weeknd",0.658,0.671,Key_2,major,0.0363,0.0933,0.000927,0.115,0.166,100.966,4,2019,"Jazz,Pop",0.1873163565132222
Circles,Post Malone,0.695,0.762,Key_0,major,0.0395,0.192,0.00244,0.0863,0.553,120.042,4,2019,"Pop,Rap",0.8984655566438131
Lover,Taylor Swift,0.359,0.543,Key_7,major,0.0919,0.492,1.58e-05,0.118,0.453,68.534,4,2019,Pop,0.5650506039830231
when the partys over,Billie Eilish,0.367,0.111,Key_4,major,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,4,2019,Pop,0.0343617368592883
Ransom,Lil Tecca,0.745,0.642,Key_7,minor,0.287,0.0204,0.0,0.0658,0.226,179.974,4,2019,Rap,0.673196212863206
Doin Time,Lana Del Rey,0.641,0.559,Key_7,minor,0.0355,0.404,0.00402,0.0937,0.523,144.982,4,2019,Pop,0.2753019915115899
Wow,Post Malone,0.829,0.539,Key_11,minor,0.208,0.136,1.78e-06,0.103,0.388,99.96,4,2019,"Pop,Rap",0.5832517140058765
MIDDLE CHILD,J. Cole,0.837,0.364,Key_8,major,0.276,0.149,0.0,0.271,0.463,123.984,4,2019,"Hip Hop,Rap",0.2278811622592229
a lot,21 Savage,0.837,0.636,Key_1,major,0.086,0.0395,0.00125,0.342,0.274,145.972,4,2018,"Hip Hop,Rap",0.5600718250081619
Bruises,Lewis Capaldi,0.736,0.308,Key_4,major,0.0677,0.946,0.0,0.186,0.361,111.202,4,2019,Pop,0.5448090107737511
thank u next,Ariana Grande,0.717,0.653,Key_1,major,0.0658,0.229,0.0,0.101,0.412,106.966,4,2019,Pop,0.724045053868756
Lose You To Love Me,Selena Gomez,0.488,0.343,Key_4,major,0.0436,0.556,0.0,0.21,0.0978,102.819,4,2020,Pop,0.4505386875612145
You Need To Calm Down,Taylor Swift,0.771,0.671,Key_2,major,0.0553,0.00929,0.0,0.0637,0.714,85.026,4,2019,Pop,0.7254325824355206
Better Now,Post Malone,0.68,0.578,Key_10,major,0.04,0.331,0.0,0.135,0.341,145.038,4,2018,"Pop,Rap",0.7101697682011099
High Hopes,Panic! At The Disco,0.579,0.904,Key_5,major,0.0618,0.193,0.0,0.064,0.681,82.014,4,2018,"Rock,Pop",0.9611492001305908
EARFQUAKE,"Tyler, The Creator",0.554,0.498,Key_9,major,0.0685,0.23,5.98e-06,0.795,0.413,79.635,4,2019,"Hip Hop,Rap",0.4602513875285667
Robbery,Juice WRLD,0.623,0.692,Key_2,major,0.0504,0.328,0.0,0.153,0.566,79.899,4,2019,Rap,0.7658341495266078
Sucker,Jonas Brothers,0.842,0.734,Key_1,minor,0.0588,0.0427,0.0,0.106,0.952,137.958,4,2019,Pop,0.770486451191642
Ride It,Regard,0.88,0.751,Key_7,minor,0.0874,0.177,6.43e-05,0.106,0.884,117.948,4,2019,"Pop,Hip Hop",0.8363532484492326
Going Bad feat Drake,"Meek Mill, Drake",0.889,0.496,Key_4,minor,0.0905,0.259,0.0,0.252,0.544,86.003,4,2018,"Pop,Hip Hop,Rap",0.6643813254978778
boyfriend with Social House,"Ariana Grande, Social House",0.4,0.795,Key_10,minor,0.461,0.119,0.0,0.159,0.702,190.097,4,2019,Pop,0.8793666340189356
Hold Me While You Wait,Lewis Capaldi,0.688,0.53,Key_11,major,0.0333,0.443,0.0,0.0995,0.162,106.958,4,2019,Pop,0.7344107084557623
Pop Out feat Lil Tjay,"Polo G, Lil Tjay",0.772,0.639,Key_1,major,0.467,0.15,0.0,0.0698,0.261,168.112,4,2019,Rap,0.6028403525954945
Goodbyes feat Young Thug,"Post Malone, Young Thug",0.548,0.653,Key_5,major,0.081,0.456,0.0,0.103,0.163,150.068,4,2019,"Pop,Hip Hop,Rap",0.8676134508651647
Location feat Burna Boy,"Dave, Burna Boy",0.812,0.496,Key_9,minor,0.297,0.271,0.0,0.0955,0.55,109.979,4,2019,"Pop,Hip Hop",0.6967025791707475
Con Calma,"Daddy Yankee, Snow",0.737,0.86,Key_8,minor,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,4,2019,"Latino,Hip Hop,Rap",0.96743388834476
Money In The Grave Drake ft Rick Ross,"Drake, Rick Ross",0.831,0.502,Key_10,minor,0.046,0.101,0.0,0.122,0.101,100.541,4,2019,"Pop,Hip Hop,Rap",0.8537381651975187
MIA,"Bad Bunny, Drake",0.816,0.538,Key_6,minor,0.0617,0.0142,0.000496,0.099,0.156,97.054,4,2018,"Latino,Pop,Hip Hop,Rap",0.6652791380999019
Look Back at It,A Boogie Wit da Hoodie,0.791,0.587,Key_3,minor,0.0413,0.407,0.0,0.148,0.536,96.057,4,2018,Rap,0.7696702579170747
ZEZE feat Travis Scott  Offset,"Kodak Black, Offset, Travis Scott",0.861,0.603,Key_8,minor,0.176,0.0521,0.0,0.0924,0.504,98.043,4,2018,"Latino,Pop,Hip Hop,Rap",0.7114756774404178
Please Me,"Cardi B, Bruno Mars",0.747,0.57,Key_1,major,0.081,0.0642,0.0,0.0832,0.65,133.992,4,2019,"Pop,Rap",0.6361410381978452
Dont Start Now,Dua Lipa,0.794,0.793,Key_11,minor,0.0842,0.0125,0.0,0.0952,0.677,123.941,4,2019,Pop,0.8148873653281096
Dance Monkey,Tones And I,0.824,0.588,Key_6,minor,0.0924,0.692,0.000104,0.149,0.513,98.027,4,2019,Pop,0.6615246490368918
break up with your girlfriend im bored,Ariana Grande,0.726,0.554,Key_5,minor,0.0917,0.0421,0.0,0.106,0.335,169.999,4,2019,Pop,0.7521221025138751
Boy With Luv feat Halsey,"BTS, Halsey",0.645,0.862,Key_11,minor,0.0845,0.0933,0.0,0.193,0.803,119.947,4,2019,"Rock,Pop",0.7952987267384916
Nights Like This feat Ty Dolla ign,"Kehlani, Ty Dolla $ign",0.61,0.725,Key_8,major,0.15,0.367,0.0,0.154,0.291,146.163,4,2019,"Jazz,Pop,Hip Hop,Rap",0.7650995755794971
im so tired,"Lauv, Troye Sivan",0.548,0.735,Key_11,major,0.236,0.173,0.0,0.195,0.498,101.252,4,2020,Pop,0.5658667972575905
Old Town Road,Lil Nas X,0.907,0.53,Key_1,major,0.127,0.0578,2.23e-06,0.101,0.507,135.998,4,2019,Hip Hop,0.6850310153444334
10000 Hours with Justin Bieber,"Dan + Shay, Justin Bieber",0.654,0.63,Key_10,major,0.0259,0.153,0.0,0.111,0.43,89.991,4,2019,"Pop,Country",0.8048481880509304
Callaita,"Bad Bunny, Tainy",0.61,0.624,Key_2,major,0.309,0.6,2.12e-06,0.243,0.244,176.169,4,2019,"Pop,Latino,Rap",0.7943192948090108
China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",0.786,0.808,Key_7,major,0.0882,0.0846,0.000289,0.0822,0.609,105.027,4,2019,"Latino,Pop,Hip Hop,Rap",0.8817335945151811
Dont Call Me Up,Mabel,0.674,0.881,Key_9,major,0.147,0.296,3.01e-06,0.0793,0.234,98.994,4,2019,Pop,0.9510284035259547
Pure Water with Migos,"Mustard, Migos",0.682,0.559,Key_0,major,0.127,0.174,0.0,0.344,0.137,202.015,4,2019,"Pop,Hip Hop,Rap",0.731309174012406
bury a friend,Billie Eilish,0.905,0.389,Key_8,major,0.332,0.74,0.162,0.106,0.196,120.046,4,2019,Pop,0.0
Higher Love,"Kygo, Whitney Houston",0.693,0.678,Key_8,major,0.0324,0.0151,5.71e-06,0.101,0.404,103.952,4,2019,"Pop,Hip Hop",0.5995755794972248
Nothing Breaks Like a Heart feat Miley Cyrus,"Mark Ronson, Miley Cyrus",0.601,0.794,Key_7,minor,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,4,2018,"Jazz,Pop",0.7069049951028402
Soltera Remix,"Lunay, Daddy Yankee, Bad Bunny",0.795,0.783,Key_5,major,0.0432,0.361,0.0,0.437,0.799,92.01,4,2019,"Latino,Hip Hop,Rap",0.8352921971922951
Beautiful People feat Khalid,"Ed Sheeran, Khalid",0.64,0.647,Key_5,minor,0.186,0.124,0.0,0.0801,0.546,92.979,4,2019,"Jazz,Pop",0.5216291217760364
Good as Hell,Lizzo,0.682,0.919,Key_0,minor,0.0875,0.256,0.0,0.442,0.535,95.982,4,2019,"Pop,Hip Hop,Rap",0.9243388834476004
Here With Me,"Marshmello, CHVRCHES",0.791,0.565,Key_5,minor,0.0439,0.0623,0.0,0.156,0.181,99.961,4,2019,"Rock,Pop,Hip Hop",0.8628795298726737
Dancing With A Stranger with Normani,"Sam Smith, Normani",0.741,0.52,Key_8,major,0.0656,0.45,1.97e-06,0.222,0.347,102.998,4,2019,"Jazz,Pop",0.5706823375775383
Swervin feat 6ix9ine,"A Boogie Wit da Hoodie, 6ix9ine",0.581,0.662,Key_9,major,0.303,0.0153,0.0,0.111,0.434,93.023,4,2018,Rap,0.7562846882141689
SOS feat Aloe Blacc,"Avicii, Aloe Blacc",0.802,0.645,Key_5,minor,0.0715,0.272,0.0,0.119,0.376,100.001,4,2019,"Jazz,Pop,Hip Hop",0.6793992817499183
Kill This Love,BLACKPINK,0.763,0.835,Key_2,minor,0.191,0.323,0.00221,0.225,0.645,131.875,4,2019,Pop,0.7566927848514526
Shotta Flow feat Blueface Remix,"NLE Choppa, Blueface",0.894,0.511,Key_2,major,0.421,0.0251,0.0,0.14,0.567,120.077,4,2019,"Hip Hop,Rap",0.7947273914462945
3 Nights,Dominic Fike,0.815,0.518,Key_7,minor,0.0897,0.223,0.0,0.104,0.877,151.891,4,2018,"Rock,Pop",0.6456904995102839
Secreto,"Anuel AA, KAROL G",0.807,0.803,Key_11,major,0.126,0.602,0.00853,0.136,0.706,91.987,4,2019,"Latino,Rap",0.8446784198498203
Calma - Remix,"Pedro Capó, Farruko",0.826,0.773,Key_11,minor,0.0524,0.323,0.0,0.143,0.761,126.899,4,2018,"Pop,Latino,Rap",0.8396180215475023
Bohemian Rhapsody - Remastered 2011,Queen,0.392,0.402,Key_0,minor,0.0536,0.288,0.0,0.243,0.228,143.883,4,1975,Rock,0.3708782239634344
Truth Hurts,Lizzo,0.715,0.624,Key_4,minor,0.114,0.11,0.0,0.123,0.412,158.087,4,2019,"Pop,Hip Hop,Rap",0.9352758733268036
Piece Of Your Heart,"MEDUZA, Goodboys",0.677,0.744,Key_10,minor,0.0295,0.0404,0.00016,0.074,0.631,124.08,4,2019,"Pop,Hip Hop",0.6283872020894546
Grace,Lewis Capaldi,0.722,0.565,Key_4,major,0.0335,0.435,0.0,0.165,0.488,104.483,4,2019,Pop,0.7065785177930133
Adan y Eva,Paulo Londra,0.767,0.709,Key_1,major,0.336,0.323,0.0,0.0745,0.72,171.993,4,2019,"Latino,Hip Hop,Rap",0.8190499510284035
So Am I,Ava Max,0.681,0.657,Key_6,major,0.0432,0.0748,0.0,0.353,0.628,130.089,4,2020,Pop,0.8026444662095983
One Thing Right,"Marshmello, Kane Brown",0.659,0.625,Key_4,major,0.045,0.0644,0.0,0.582,0.442,88.042,4,2019,"Pop,Hip Hop,Country",1.0
Taki Taki feat Selena Gomez Ozuna  Cardi B,"DJ Snake, Selena Gomez, Ozuna, Cardi B",0.842,0.801,Key_8,minor,0.228,0.157,4.82e-06,0.0642,0.617,95.881,4,2019,"Latino,Pop,Hip Hop,Rap",0.8437806072477962
My Type,Saweetie,0.899,0.811,Key_2,major,0.258,0.000677,0.0,0.0672,0.587,105.038,4,2019,Rap,0.6701762977473065
Otro Trago,"Sech, Darell",0.746,0.7,Key_0,major,0.341,0.136,0.000159,0.11,0.619,176.044,4,2019,"Latino,Pop,Hip Hop,Rap",0.8028077048645118
Money,Cardi B,0.95,0.59,Key_8,minor,0.29,0.00534,0.0,0.11,0.219,130.003,4,2018,"Pop,Rap",0.6527097616715637
How Do You Sleep,Sam Smith,0.477,0.682,Key_1,minor,0.0925,0.153,0.0,0.0763,0.345,110.567,5,2019,Pop,0.7814234410708454
Only Human,Jonas Brothers,0.795,0.496,Key_0,major,0.0722,0.108,0.0,0.0645,0.874,94.01,4,2019,Pop,0.7037218413320273
Talk feat Disclosure,"Khalid, Disclosure",0.9,0.4,Key_0,major,0.127,0.0516,0.0,0.0599,0.346,135.984,4,2019,"Rock,Jazz,Pop,Hip Hop",0.4840026118184786
Leave Me Alone,Flipp Dinero,0.792,0.743,Key_7,major,0.0851,0.107,0.0,0.183,0.742,150.024,4,2019,Rap,0.9548645119164216
